melt_temp,mold_temp,time_to_fill,plasticizing_time,cycle_time,closing_force,clamp_force_peak,torque_peak,torque_mean,back_pressure_peak,injection_pressure_peak,screw_pos_end_hold,shot_volume,quality,material,defect_type,source
106.4761843026486,80.617,7.124,3.16,74.83,886.9,904.0,116.9,104.3,145.6,922.3,8.82,18.73,0,ABS,未知,real
105.505,81.362,6.968,3.16,74.81,919.4097910069526,935.9,113.9,104.9,145.6,930.5,8.59,18.73,0,ABS,未知,real
105.505,80.411,6.864,4.08,74.81,908.6,902.344823440673,120.5,106.50349562132968,147.0,933.1,8.8,18.98,0,ABS,未知,real
106.474827319454,81.162,6.864,3.16,74.82,879.4108705141836,902.0336532778018,127.3,104.9,145.6,922.3,8.85,18.73,0,ABS,未知,real
106.46614012359792,81.471,6.864,3.22,74.83,885.6442597147975,902.821268610423,120.5,106.7,145.6,917.5,8.8,18.75,0,ABS,未知,real
105.449,81.162,6.864,3.186743629216821,74.81,903.1,902.4442767756626,120.5,104.9,145.6,882.3,8.84,18.72,0,ABS,未知,real
106.27280603310146,81.343,7.228,3.16,74.82,885.1536783067113,895.3,116.9,107.8,145.8,922.3,8.59,18.73,0,ABS,未知,real
105.571,80.326,6.968,5.57,74.81,915.3,929.5,100.4,86.2,147.4,860.9,8.62,18.95,0,ABS,未知,real
106.47154388965863,81.402,6.968,3.185673701843666,74.82,919.8881899258424,895.3,120.5,93.1,146.0,882.3,8.83,18.73,0,ABS,未知,real
105.505,81.027,6.864,3.22,74.82,885.1124139116309,902.1128740478296,113.9,93.1,146.1,882.3,8.68,18.73,0,ABS,未知,real
105.944,81.402,7.228,3.16,74.83,908.6,938.2,120.5,104.9,145.9,917.5,8.85,18.89,0,ABS,未知,real
106.323,81.343,7.124,3.16,74.83,885.2,904.0,118.4,107.3,146.7,930.5,8.76,18.8,0,ABS,未知,real
106.44650799949244,80.617,7.228,4.08,74.81,884.9929424085067,938.2,116.9,106.61143378574802,146.7,882.3,8.8,18.77,0,ABS,未知,real
106.4587629095648,81.162,6.864,3.2,74.83,919.9132001925126,902.3395081906394,120.5,88.9,145.9,937.7,8.68,18.71,0,ABS,未知,real
106.27478511665429,81.362,7.228,3.16,74.81,886.9,926.3,107.3,106.2,146.0,882.3,8.81,18.8,0,ABS,未知,real
105.944,81.162,6.864,4.08,74.83,903.1,904.0,118.4,106.2,146.7,930.5,8.83,18.76,0,ABS,未知,real
106.323,80.617,6.864,3.82,74.81,919.5773069587732,918.2,113.9,93.1,148.1,933.1,8.59,18.72,0,ABS,未知,real
106.237,81.027,6.864,3.185465953285024,74.83,879.6253698400482,904.0,120.5,106.48490402172229,145.9,933.1,8.84,18.76,0,ABS,未知,real
106.05,81.196,6.968,3.19,74.81,908.6,926.5,114.5,103.0,145.7,931.2,8.87,18.7,0,ABS,未知,real
105.449,80.411,6.968,3.189244993662931,74.82,885.2852523937066,896.8,116.9,106.51484116160532,147.0,923.9,8.8,18.77,0,ABS,未知,real
105.449,81.343,6.968,3.16,74.83,901.6,896.8,113.9,106.48600513038112,146.0,882.3,8.85,18.77,0,ABS,未知,real
106.47733601809936,81.437,7.124,3.189451507529756,74.82,903.1,896.8,127.3,106.40122447430213,148.1,922.3,8.59,18.75,0,ABS,未知,real
106.27304265034051,80.411,6.864,4.08,74.82,885.0213666931486,896.8,113.9,104.3,147.0,933.1,8.83,18.76,0,ABS,未知,real
106.274739059901,81.162,7.228,3.1779406842269857,74.83,879.7630138050932,904.0,120.5,106.7,145.6,933.1,8.85,18.73,0,ABS,未知,real
106.106,81.145,6.968,3.17,74.81,909.4,923.8,113.0,105.4,145.7,929.3,8.85,18.71,0,ABS,未知,real
106.4638865605136,81.058,6.864,3.22,74.82,903.1,901.9795217856828,120.5,106.2,145.9,930.5,8.85,18.73,0,ABS,未知,real
106.27265415576662,80.617,6.864,3.1821940496115246,74.82,879.4152868493275,895.3,127.3,104.9,146.7,882.3,8.82,18.75,0,ABS,未知,real
106.4873969501806,81.471,6.864,3.22,74.82,885.2984746225802,926.3,107.3,106.41873617761064,145.9,937.7,8.68,18.75,0,ABS,未知,real
105.449,80.617,6.864,3.1852226547087668,74.81,903.1,919.9,120.5,93.1,147.0,933.1,8.81,18.89,0,ABS,未知,real
